Type,Ref,Date,Monthyear,Count,Title,Summary,Department,Corporate author,Legislature,Subject,Topic,Legislation,Witnesses,Library location,Weblocation
Treaties,CP 85,09/04/2019,42019,3,"Agreement, done at Minsk on 18 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Belarus concerning International Motor Vehicle Carriage",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Fees and charges; Licensing; Freight; Large goods vehicles; Registration; Belarus,,,, ,https://www.gov.uk/government/publications/cs-belarus-no12019-ukbelarus-agreement-concerning-international-motor-vehicle-carriage
Treaties,CP 87,08/04/2019,42019,4,"Voluntary Partnership Agreement, done at Jakarta on 29 March 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Republic of Indonesia on Forest Law Enforcement, Governance and Trade in Timber Products into the United Kingdom of Great Britain and Northern Ireland",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Conservation; Forests; Trade; Timber; Indonesia,,,, ,https://www.gov.uk/government/publications/cs-indonesia-no12019-ukindonesia-voluntary-partnership-agreement-on-forest-law-enforcement-governance-and-trade-in-timber-products
Treaties,CP 83,05/04/2019,42019,5,"Agreement, done at Saint Lucia on 22 March 2019, between the United Kingdom of Great Britain and Northern Ireland and the CARIFORUM States, on Economic Partnership",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Caribbean; Caribbean Community; Economic partnership agreements,,,, ,https://www.gov.uk/government/publications/ms-no162019-economic-partnership-agreement-between-the-cariforum-states-of-the-one-part-and-the-united-kingdom-of-great-britain-and-northern-ire
Treaties,CP 77,28/03/2019,32019,1,"Agreement, done at London on 5 July 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of Morocco regarding the System of British Schools in Morocco",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Schools; Morocco,,,, ,https://www.gov.uk/government/publications/cs-morocco-no12019-ukmorocco-agreement-regarding-the-system-of-british-schools-in-morocco
Treaties,CP 76,20/03/2019,32019,2,"Agreement, done at London on 14 March 2019, between the United Kingdom of Great Britain and Northern Ireland, of the one part, and the Pacific States, of the other part on establishing an Interim Economic Partnership",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Fiji; Economic partnership agreements; Papua New Guinea,,,, ,https://www.gov.uk/government/publications/ms-no152019-interim-economic-partnership-agreement-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-pacific-states
Treaties,CP 74,18/03/2019,32019,3,"Convention, done at Vienna on 23 October 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Austria for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital Gains",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Capital gains tax; Austria; Income tax; Double taxation; Tax evasion,,,, ,https://www.gov.uk/government/publications/ts-no22019-ukaustria-convention-for-the-avoidance-of-double-taxation-and-the-prevention-of-fiscal-evasion
Treaties,CP 73,18/03/2019,32019,4,"Agreement, done at London on 3 November 2016, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Kingdom of Lesotho for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and on Capital Gains",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Capital gains tax; Income tax; Double taxation; Tax evasion; Lesotho,,,, ,https://www.gov.uk/government/publications/ts-no12019-uklesotho-agreement-for-the-avoidance-of-double-taxation-and-the-prevention-of-fiscal-evasion
Treaties,CP 72,15/03/2019,32019,5,"International Agreement, done at London and Madrid on 4 March 2019,  on Taxation and the Protection of Financial Interests Between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Spain regarding Gibraltar",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Gibraltar; Taxation; Spain,,,, ,https://www.gov.uk/government/publications/cs-spain-no12019-ukspain-international-agreement-on-taxation-and-the-protection-of-financial-interests-regarding-gibraltar
Treaties,CP 71,15/03/2019,32019,6,"Agreement, done at Madrid on 21 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Spain on the Participation in Certain Elections of Nationals of Each Country Resident in the Territory of the Other",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Elections; Voting rights; Spain,,,, ,https://www.gov.uk/government/publications/cs-spain-no22019-ukspain-agreement-on-the-participation-in-certain-elections-of-nationals-of-each-country-resident-in-the-territory-of-the-other
Treaties,CP 65,28/02/2019,22019,1,"Additional Agreement, done at Bern on 11 February 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Swiss Confederation and the Principality of Liechtenstein on extending to the Principality of Liechtenstein certain provisions of the Trade Agreement between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Customs; Excise duties; Trade agreements; Switzerland; Liechtenstein,,,, ,https://www.gov.uk/government/publications/cs-liechtenstein-no12019-ukliechtenstein-additional-agreement-extending-certain-provisions-of-ukswiss-trade-agreement-to-liechtenstein
Treaties,CP 64,28/02/2019,22019,2,"Agreement, done at Bern on 25 February 2019, between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation on Citizens' Rights following the Withdrawal of the United Kingdom from the European Union and the Free Movement of Persons Agreement",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,EU nationals; Free movement of people; Switzerland,,,, ,https://www.gov.uk/government/publications/cs-switzerland-no52019-ukswitzerland-agreement-on-citizens-rights-following-withdrawal-of-uk-from-the-eu-and-free-movement-of-persons-agreement
Treaties,CP 59,26/02/2019,22019,3,"Agreement, done at Tel Aviv on 18 February 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the State of Israel on Trade and Partnership",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Trade agreements; Israel,,,, ,https://www.gov.uk/government/publications/cs-israel-no12019-ukisrael-trade-and-partnership-agreement
Treaties,CP 61,26/02/2019,22019,4,"Interim Political, Trade and Partnership Agreement, done at Ramallah on 18 Februrary 2019, between the United Kingdom of Great Britain and Northern Ireland and the Palestinian Liberation Organisation for the benefit of the Palestinian Authority of the West Bank and the Gaza Strip",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Trade agreements; Israel; Palestinians; Gaza; Occupied territories; Palestine Liberation Organisation,,,, ,https://www.gov.uk/government/publications/ms-no142019-interim-political-trade-and-partnership-agreement-between-uk-and-plo-for-the-benefit-of-the-palestinian-authority
Treaties,CP 60,26/02/2019,22019,5,Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Serbia on International Road Transport,,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Freight; Transport; Roads; Serbia,,,, ,https://www.gov.uk/government/publications/cs-serbia-no12019-ukserbia-agreement-on-on-international-road-transport
Treaties,CP 55,20/02/2019,22019,6,"Agreement, done at Bern on 11 February 2019, between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation on Trade",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Trade agreements; Switzerland,,,, ,https://www.gov.uk/government/publications/cs-switzerland-no42019-ukswitzerland-trade-agreement
Treaties,CP 52,18/02/2019,22019,7,"Revised Agreement, done at Geneva on 30 March 2012, on Government Procurement",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Public sector; Procurement; Government Procurement Agreement,,,, ,https://www.gov.uk/government/publications/ms-no112019-revised-agreement-on-government-procurement
Treaties,CP 51,18/02/2019,22019,8,"1994 Agreement, done at Marrakesh on 15th April 1994, on Government Procurement",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Public sector; Procurement; Government Procurement Agreement,,,, ,https://www.gov.uk/government/publications/ms-no122019-1994-agreement-on-government-procurement
Treaties,CP 54,18/02/2019,22019,9,"Agreement, done at Washington on 14th February 2019,  between the Government of the United Kingdom of Great Britain and Northern Ireland and the United States of America on Mutual Recognition",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,International cooperation; Trade agreements; USA,,,, ,https://www.gov.uk/government/publications/cs-usa-no52019-ukusa-agreement-on-mutual-recognition
Treaties,CP 53,18/02/2019,22019,10,"Agreement, done at Washington on 14 February 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on Mutual Recognition of Certificates of conformity for Marine Equipment",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Documents; Equipment; Shipping; Standardisation; USA,,,, ,https://www.gov.uk/government/publications/cs-usa-no42019-ukusa-agreement-on-the-mutual-recognition-of-certificates-of-conformity-for-marine-equipment
Treaties,CP 49,12/02/2019,22019,11,"Convention, done at Dublin on 1 February 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Ireland on Social Security",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,British nationals abroad; EU nationals; Protection; Reciprocal arrangements; Social security; Republic of Ireland; Common travel area,,,, ,https://www.gov.uk/government/publications/cs-ireland-no12019-ukireland-convention-on-social-security
Treaties,CP 47,08/02/2019,22019,12,"Convention, done at Ottawa on 24 November 1978, on Cooperation in the Northwest Atlantic Fisheries",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Common fisheries policy; Conservation; Fisheries; Fishing catches; Atlantic Ocean; Northwest Atlantic Fisheries Organisation,,,, ,https://www.gov.uk/government/publications/ms-no112019-convention-on-cooperation-in-the-northwest-atlantic-fisheries
Treaties,CP 44,08/02/2019,22019,13,"Convention, done at Reykjavik on 2 March 1982, for the Conservation of Salmon in the North Atlantic Ocean",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Fisheries; Environment protection; Salmon; North Atlantic Salmon Conservation Organisation,,,, ,https://www.gov.uk/government/publications/ms-no72019-convention-for-the-conservation-of-salmon-in-the-north-atlantic-ocean
Treaties,CP 41,08/02/2019,22019,14,"Agreement, done at Rome on 22 November 2009, on Port State Measures to Prevent, Deter and Eliminate Illegal, Unreported and Unregulated Fishing",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Common fisheries policy; Fisheries; Fishery agreements; Fishing catches; Fishing vessels,,,, ,https://www.gov.uk/government/publications/ms-no102019-agreement-on-port-state-measures-to-prevent-deter-and-eliminate-illegal-unreported-and-unregulated-fishing
Treaties,CP 45,08/02/2019,22019,15,"Agreement, done at Rome on 24 November 1993, to Promote Compliance with International Conservation and Management Measures by Fishing Vessels on the High Seas",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Conservation; Fisheries; Fish; Protection; Food and Agriculture Organisation; Law of the sea,,,, ,https://www.gov.uk/government/publications/ms-no82019-agreement-to-promote-compliance-with-international-conservation-and-management-measures-by-fishing-vessels-on-the-high-seas
Treaties,CP 46,08/02/2019,22019,16,"International Convention, done at Rio de Janeiro on 14 May 1966, on the Conservation of Atlantic Tunas",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Conservation; Fisheries; Atlantic Ocean; Tuna; International Commission for Conservation of Atlantic Tuna,,,, ,https://www.gov.uk/government/publications/ms-no92019-convention-for-the-conservation-of-atlantic-tunas
Treaties,CP 43,08/02/2019,22019,17,"Convention, done at London on 18 November 1980, on Future Multilateral Cooperation in North-East Atlantic Fisheries",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Fisheries; North East Atlantic Fisheries Commission,,,, ,https://www.gov.uk/government/publications/ms-no52019-convention-on-future-multilateral-cooperation-in-north-east-atlantic-fisheries
Treaties,CP 42,08/02/2019,22019,18,"Agreement, done at Rome on 25 November 1993, on the Establishment of the Indian Ocean Tuna Commission",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,British Indian Ocean Territory; Fisheries; Environment protection; Tuna; Indian Ocean Tuna Commission,,,, ,https://www.gov.uk/government/publications/ms-no62019-agreement-for-the-establishment-of-the-indian-ocean-tuna-commission
Treaties,CP 36,07/02/2019,22019,19,"Agreement, done at Washington on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on Trade in Wine",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Wines; Trade agreements; USA,,,, ,https://www.gov.uk/government/publications/cs-usa-no32019-ukusa-agreement-on-trade-in-wine
Treaties,CP 34,07/02/2019,22019,20,"Agreement, done at Washington on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the United States of America on the Mutual Recognition of certain distilled Spirits/Spirit Drinks",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Alcoholic drinks; USA; Spirits,,,, ,https://www.gov.uk/government/publications/cs-usa-no22019-ukusa-agreement-on-the-mutual-recognition-of-certain-distilled-spiritsspirit-drinks
Treaties,CP 32,06/02/2019,22019,21,"Agreement, done at London on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Denmark in respect of Free Trade with the Faroe Islands",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Exclusive economic zone; Trade agreements; Faroe Islands; Denmark; Free trade,,,, ,https://www.gov.uk/government/publications/cs-denmark-no12019-ukdenmark-free-trade-agreement-in-respect-of-the-faroe-islands
Treaties,CP 33,06/02/2019,22019,22,"Agreement, done at Santiago on 30 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Chile on Trade in Organic Products",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Labelling; Organic farming; Organic food; Trade agreements; Chile,,,, ,https://www.gov.uk/government/publications/cs-chile-no12019-ukchile-agreement-on-trade-in-organic-products
Treaties,CP 35,06/02/2019,22019,23,"Agreement, done at Santiago on 30 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Republic of Chile on establishing an Association",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,International cooperation; Economic cooperation; Trade agreements; Chile,,,, ,https://www.gov.uk/government/publications/cs-chile-no22019-ukchile-agreement-establishing-an-association
Treaties,CP 31,06/02/2019,22019,24,"Agreement, done at London on 31 January 2019, between the United Kingdom of Great Britain and Northern Ireland and the Eastern and Southern Africa States on establishing an Economic Partnership Agreement",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Africa; Economic partnership agreements,,,, ,https://www.gov.uk/government/publications/ms-no42019-agreement-establishing-an-economic-partnership-agreement-between-the-eastern-and-southern-africa-states-and-the-uk
Treaties,CP 28,01/02/2019,22019,25,"Agreement, done at London on 18 January 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Australia on Mutual Recognition in Relation to Conformity Assessment, Certificates and Markings",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Certification; Australia; International cooperation; Origin marking,,,, ,https://www.gov.uk/government/publications/cs-australia-no22019-ukaustralia-agreement-on-mutual-recognition-in-relation-to-conformity-assessment-certificates-and-markings
Treaties,CP 27,01/02/2019,22019,26,"Agreement, done at London on 21 January 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of New Zealand on Mutual Recognition in Relation to Conformity Assessment",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,International cooperation; New Zealand; Standardisation,,,, ,https://www.gov.uk/government/publications/cs-new-zealand-no22019-uknew-zealand-agreement-on-mutual-recognition-in-relation-to-conformity-assessment
Treaties,CP 26,30/01/2019,12019,1,"Agreement, done at Davos on 25 January 2019, on Direct Insurance other than Life Insurance between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Insurance companies; Insurance; Standardisation; Switzerland,,,, ,https://www.gov.uk/government/publications/cs-switzerland-no32019-ukswitzerland-agreement-on-direct-insurance-other-than-life-insurance-and-decision
Treaties,CP 5,29/01/2019,12019,2,"Agreement, done at Davos on 25 January 2019, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Swiss Federal Council on the International Carriage of Passengers and Goods by Road",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Freight; Roads; Switzerland; International transport,,,, ,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/774294/CS_Swiss_1.2019_Road.pdf
Treaties,CP 25,29/01/2019,12019,3,"Agreement, done at Zurich on 17 December 2018, between the United Kingdom of Great Britain and Northern Ireland and the Swiss Confederation relating to Scheduled Air Services",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Aviation; Switzerland,,,, ,https://www.gov.uk/government/publications/cs-switzerland-no22019-ukswitzerland-agreement-relating-to-scheduled-air-services
Treaties,CP 8,28/01/2019,12019,4,Agreement on Trade in Wine between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Australia,,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Australia; Trade; Wines,,,, ,https://www.gov.uk/government/publications/cs-australia-no12019-ukaustralia-agreement-on-trade-in-wine
Treaties,CP 12,28/01/2019,12019,5,Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of New Zealand on Sanitary Measures Applicable to Trade in Live Animals and Animal Products,,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Animals; Animal products; New Zealand; Trade; Sanitation,,,, ,https://www.gov.uk/government/publications/cs-new-zealand-no12019-uknew-zealand-agreement-on-sanitary-measures-applicable-to-trade-in-live-animals-and-animal-product
Treaties,CP 20,25/01/2019,12019,6,"Agreement, done at London on 22 November 2006, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the Republic of Kazakhstan on International Road Transport",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Freight; Transport; Roads; Kazakhstan,,,, ,https://www.gov.uk/government/publications/cs-kazakhstan-no12019-ukkazakhstan-agreement-on-international-road-transport
Treaties,CP 19,22/01/2019,12019,7,"Agreement, done at Washington on 18 December 2018, between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the United States of America on Prudential Measures regarding Insurance and Reinsurance",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Insurance; Regulation; USA,,,, ,https://www.gov.uk/government/publications/cs-usa-no12019-ukusa-bilateral-agreement-on-prudential-measures-regarding-insurance-and-reinsurance
Treaties,CP 10,11/01/2019,12019,8,"Protocol, done at Geneva 6 Dec 2005, amending the TRIPS Agreement",,Foreign and Commonwealth Office,Foreign and Commonwealth Office,House of Lords; House of Commons,Intellectual property; TRIPS Agreement,,,, ,https://www.gov.uk/government/publications/ms-no32019-protocol-amending-the-trips-agreement
